category,slug,status,detail
Decoracion,macaws-roofs,OK,"Project "Macaw's Roofs" successfully added! (mcw-roofs-2.3.2-mc1.20.1forge.jar)"
Decoracion,macaws-paths-and-pavings,OK,"Project "Macaw's Paths and Pavings" successfully added! (mcw-mcwpaths-1.1.1-mc1.20.1forge.jar)"
Decoracion,macaws-furniture,OK,"Project "Macaw's Furniture" successfully added! (mcw-furniture-3.4.1-mc1.20.1forge.jar)"
Decoracion,supplementaries,OK,"Project "Supplementaries" successfully added! (supplementaries-1.20-3.1.43-forge.jar)"
Decoracion,handcrafted,OK,"Project "Handcrafted" successfully added! (handcrafted-forge-1.20.1-3.0.6.jar)"
Decoracion,blockus,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Decoracion,corpse,OK,"Project "Corpse" successfully added! (corpse-forge-1.20.1-1.0.23.jar)"
Decoracion,waystones,OK,"Project "Waystones" successfully added! (waystones-forge-1.20.1-14.1.21.jar)"
Utilidad,jei,OK,"Project "Just Enough Items (JEI)" successfully added! (jei-1.20.1-forge-15.59.0.212.jar)"
Utilidad,jade,OK,"Project "Jade 🔍" successfully added! (Jade-1.20.1-Forge-11.13.3.jar)"
Utilidad,mouse-tweaks,OK,"Project "Mouse Tweaks" successfully added! (MouseTweaks-forge-mc1.20.1-2.25.1.jar)"
Utilidad,trashslot,OK,"Project "TrashSlot" successfully added! (trashslot-forge-1.20.1-15.1.5.jar)"
Utilidad,xp-tome,OK,"Project "XP Tome" successfully added! (xptome-1.20.1-2.2.1.jar)"
Utilidad,torchmaster,OK,"Project "TorchMaster" successfully added! (torchmaster-20.1.9.jar)"
Utilidad,polymorph,OK,"Project "Polymorph" successfully added! (polymorph-forge-0.49.11+1.20.1.jar)"
Utilidad,appleskin,OK,"Project "AppleSkin" successfully added! (appleskin-forge-mc1.20.1-2.5.1.jar)"
Utilidad,inventory-profiles-next,OK,"Project "Inventory Profiles Next" successfully added! (InventoryProfilesNext-forge-1.20-1.10.20.jar)"
Utilidad,easy-anvils,OK,"Project "Easy Anvils" successfully added! (EasyAnvils-v8.0.2-1.20.1-Forge.jar)"
Utilidad,easy-villagers,OK,"Project "Easy Villagers" successfully added! (easy-villagers-forge-1.20.1-1.1.39.jar)"
Utilidad,xaeros-minimap,OK,"Project "Xaero's Minimap" successfully added! (xaerominimap-forge-1.20.1-26.5.0.jar)"
Utilidad,xaeros-world-map,OK,"Project "Xaero's World Map" successfully added! (xaeroworldmap-forge-1.20.1-1.46.0.jar)"
Utilidad,controlling,OK,"Project "Controlling" successfully added! (Controlling-forge-1.20.1-12.0.2.jar)"
Utilidad,craftify,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Utilidad,comforts,OK,"Project "Comforts" successfully added! (comforts-forge-6.4.0+1.20.1.jar)"
Utilidad,traveling-armor-stand,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Utilidad,puzzles-lib,OK,"Project "Puzzles Lib" successfully added! (PuzzlesLib-v8.1.33-1.20.1-Forge.jar)"
Utilidad,packing-tape,FAIL,"Searching Modrinth... Failed to add project: no projects found "
